BC UDR
DPZ FANG
ACV VLO
AFL VIAV
CHRW GWW
GT LEG
MAA PXD
COO UNM
KHC VZ
MPC NI
JCI WMT
ETSY NVDA
CMCSA RE
AKAM GD
CTSH KMX
COF MPWR
AIV DFS
BIIB ROL
FAST SIRI
AAPL GL
MTD PAYC
BMRN DVA
CCU TEVA
PCAR PKI
FITB SYF
DAL NDAQ
AXP LW
LEN XYL
LLY ROK
ATVI ILMN
FDS SANM
CAT MO
FB IAC
DXCM MHK
FSLR GILD
JWN SNA
COOP NWL
APA GPN
AME IR
HRB NCLH
CHD SE
BLK ODP
AWK UNP
ABBV PNC
IQV ZTS
QCOM TMUS
R URBN
DVN ZBRA
ATI MSFT
SRE TWTR
CAH DD
PBCT TSLA
HBAN NKE
AZO DGX
INTU TDC
ADP GS
IVZ SNPS
ABMD FOSL
LHX TAP
PBI PTC
ADT JD
PSA REG
DIS IRM
PNR PRGO
ALLE QRVO
ALB CTLT
PPG SYK
BF-B WY
HIG PYPL
APH IHRT
BIG MDLZ
FL RCL
AEE WAT
CC SRCL
EOG WRB
EPAM SUN
HON PRI
FMC WST
ODFL SEDG
ANF LNT
AON KLAC
O XOM
ENDP TTWO
KEYS WMB
INFO IP
EQR VRSK
AAL LOW
MAC STT
BUD MTW
MU TRMB
CTVA MKC
ETR MA
FFIV XRX
EFX FRC
NTES WRK
ABT BDX
ALGN MOH
AINV SBUX
AAP BR
BAC CFG
CINF DDS
ECL EL
EXPD FISV
CRM SLG
BMY TXN
TDY THC
HBI NKTR
KO MET
ICE SPG
EA IPGP
TMO ULTA
ISRG PRU
GME WFC
SIG SSP
RJF RSG
NFLX NOV
PENN RRC
ANTM HUM
SO UA
BA JPM
ACN FBHS
LH MRK
AIG STZ
FPL SIVB
ADSK KEY
CHKP HPE
AYI TSCO
CAG STX
ATO GOOGL
CBH MRO
BAX CI
CB IGT
PKG TXT
LNC PLL
ANSS CHIR
OI TPR
EMR GCI
PM VRTX
CCL HSY
AMAT HRL
NLOK NVR
BRO CE
KIM NTAP
HES POOL
AES AN
AA BKNG
BWA DTE
FLEX MOS
HAS HOLX
BIO FLT
C PNW
JKHY RLGY
DLTR EVRG
GNW HP
GNRC SPGI
IBM SCHW
ED SITC
ES WELL
BBBY CF
BLL FDX
CCI ITW
COTY TUP
PFG SWKS
AMBC PG
KODK NTRS
AOS CCK
CLX MBI
CAR ORCL
APTV NOW
ITT KSS
IEX PEP
MGM V
DE MDT
BEN NXPI
COST EMN
ALL MKTX
AMD CBRE
FTNT LUV
FIS IFF
BBY M
LSI TROW
LBTYK TRV
ETN F
ADI TDG
DRE MSI
DISCK MAR
CTXS OMC
CPRT SJM
MNST SBNY
ENPH HCA
FLR KMB
D FTI
DISCA IT
TFX VNO
CNC DXC
ESS SHW
KMI PVH
HOG MS
AMT SLB
CNX GRMN
DHI NSC
DHR WHR
VRTS WEC
ABC MMM
HPQ TJX
ONE PWR
K RHI
CTAS USB
RMD TFC
SLM SYY
ADM LYB
ALTR GE
AMGN BSX
FRT LIFE
DLX RF
CHTR TSN
AVB DLR
FLS PCG
AEP VRSN
PAR REGN
LDOS PLD
MCD WAB
AIZ CMI
LMT LRCX
CIEN CPRI
DOW EIX
LYV NOC
UNH WBA
CVX PGR
CSX ZION
FOXA LVS
BTU COP
STE WOR
EQT KBH
FCX UAL
ORLY WU
T WDC
JBL MSCI
FE ZBH
AMZN YUM
GPC JNJ
CME PEAK
CPB SWK
CMS EW
LOGI MCO
CDAY TRIP
AMP VTRS
HLT TEX
GIS RYAAY
HSIC SEE
CZR PPL
EBAY GOOG
HAL ROST
MTCH XRAY
FHN GLW
CNP LIN
CBOE IDXX
PDCO RRD
FOX MUR
CDNS HII
LUMN SBAC
CL UPS
A APD
CLF NEE
NBR VTR
JNPR MMC
EXR INTC
LKQ MCK
CERN HD
CMG L
ALK EXC
ATGE WM
BRK-B MCHP
DELL DOV
ASH UHS
CVS IPG
ADBE ROP
DUK PEG
PFE SAIC
TEL VOD
AMG ARE
MLM NYT
NUE TYL
DG DISH
FTV MAS
ADS MAT
NAVI PSX
CPT MRVL
NEM TGNA
CSCO OKE
DRI GPS
HFC PHM
AVY NDSN
BK RTX
INFY URI
GHC OXY
RIG RL
CDW EQ
MTB NLSN
ANET EQIX
BXP TGT
NWS TER
J VMC
AJG HST
JBHT NWSA
JEF WYNN
NRG PH
DAN INCY
UAA XEL
KR QGEN
AVGO JP
SWN VFC
BIDU CMA
EXPE GM
PAYX X
AMCR MMI
