===============================================================================
Id,AMZN (1),len,datetime,open,high,low,close,volume,openinterest,NFLX,len,datetime,open,high,low,close,volume,openinterest,Strategy_pair,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,AMZN (1),NFLX
1,AMZN (1),1,2017-02-28 23:59:59.999989,851.450012,854.090027,842.049988,845.039978,2793700.0,0.0,NFLX,1,2017-02-28 23:59:59.999989,143.300003,143.570007,141.850006,142.130005,3862200.0,0.0,Strategy_pair,1,736388.9999999999,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,AMZN (1),2,2017-03-01 23:59:59.999989,853.049988,854.830017,849.01001,853.080017,2760100.0,0.0,NFLX,2,2017-03-01 23:59:59.999989,142.839996,143.259995,142.100006,142.649994,4170600.0,0.0,Strategy_pair,2,736389.9999999999,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,AMZN (1),3,2017-03-02 23:59:59.999989,853.080017,854.820007,847.280029,848.909973,2132100.0,0.0,NFLX,3,2017-03-02 23:59:59.999989,142.149994,142.699997,139.089996,139.529999,6119900.0,0.0,Strategy_pair,3,736390.9999999999,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,AMZN (1),4,2017-03-03 23:59:59.999989,847.200012,851.98999,846.27002,849.880005,1941100.0,0.0,NFLX,4,2017-03-03 23:59:59.999989,139.690002,140.910004,138.259995,139.139999,5399800.0,0.0,Strategy_pair,4,736391.9999999999,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,AMZN (1),5,2017-03-06 23:59:59.999989,845.22998,848.48999,841.119995,846.609985,2610400.0,0.0,NFLX,5,2017-03-06 23:59:59.999989,141.0,142.839996,140.539993,141.940002,7116100.0,0.0,Strategy_pair,5,736394.9999999999,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,AMZN (1),6,2017-03-07 23:59:59.999989,845.47998,848.460022,843.75,846.02002,2247600.0,0.0,NFLX,6,2017-03-07 23:59:59.999989,141.990005,142.399994,140.380005,141.429993,4241000.0,0.0,Strategy_pair,6,736395.9999999999,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,AMZN (1),7,2017-03-08 23:59:59.999989,848.0,853.070007,846.789978,850.5,2286500.0,0.0,NFLX,7,2017-03-08 23:59:59.999989,141.470001,142.059998,139.770004,140.320007,4085500.0,0.0,Strategy_pair,7,736396.9999999999,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,AMZN (1),8,2017-03-09 23:59:59.999989,851.0,856.400024,850.309998,853.0,2048200.0,0.0,NFLX,8,2017-03-09 23:59:59.999989,140.039993,141.240005,139.740005,140.529999,2652700.0,0.0,Strategy_pair,8,736397.9999999999,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,AMZN (1),9,2017-03-10 23:59:59.999989,857.0,857.349976,851.719971,852.460022,2436400.0,0.0,NFLX,9,2017-03-10 23:59:59.999989,141.389999,141.800003,140.279999,140.889999,3318500.0,0.0,Strategy_pair,9,736398.9999999999,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,AMZN (1),10,2017-03-13 23:59:59.999989,851.77002,855.690002,851.710022,854.590027,1909700.0,0.0,NFLX,10,2017-03-13 23:59:59.999989,140.899994,143.710007,140.320007,143.520004,4922400.0,0.0,Strategy_pair,10,736401.9999999999,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
