Date,Open,High,Low,Close,Adj Close,Volume
2021-03-25,120.860001,122.330002,119.879997,121.900002,121.244164,967300
2021-03-26,122.540001,125.709999,122.029999,125.639999,124.964043,1441900
2021-03-29,124.879997,125.820000,123.739998,125.419998,124.745224,1539700
2021-03-30,124.610001,125.699997,124.410004,124.839996,124.168335,1033700
2021-03-31,125.949997,128.479996,125.949997,127.139999,126.455963,1815500
2021-04-01,128.000000,128.300003,127.010002,127.690002,127.003014,1126400
2021-04-05,129.000000,130.610001,129.000000,130.000000,129.497314,1096300
2021-04-06,130.570007,131.860001,129.869995,131.039993,130.533310,1623200
2021-04-07,130.250000,130.570007,128.529999,129.339996,128.839874,954600
2021-04-08,130.259995,131.729996,129.869995,130.690002,130.184662,925100
2021-04-09,131.460007,131.919998,130.729996,131.910004,131.399948,1552200
2021-04-12,131.440002,132.179993,130.839996,131.270004,130.762421,1166300
2021-04-13,131.600006,133.270004,131.470001,132.970001,132.455856,1593700
2021-04-14,133.100006,133.229996,130.960007,131.970001,131.459717,1499300
2021-04-15,132.000000,133.940002,132.000000,133.279999,132.764633,2121300
2021-04-16,134.050003,134.639999,133.160004,134.580002,134.059616,4495400
2021-04-19,134.380005,134.649994,133.070007,133.500000,132.983795,1071600
2021-04-20,133.000000,133.550003,131.820007,132.460007,131.947830,1261200
2021-04-21,132.880005,133.949997,132.020004,133.830002,133.312531,1173900
2021-04-22,134.029999,135.460007,133.830002,134.529999,134.009827,1732700
2021-04-23,134.570007,137.119995,134.500000,136.679993,136.151505,1495200
2021-04-26,137.210007,137.830002,136.679993,137.339996,136.808945,1287400
2021-04-27,136.929993,137.440002,136.229996,136.479996,135.952271,1752900
2021-04-28,136.000000,136.509995,134.710007,134.800003,134.278793,1603900
2021-04-29,135.410004,135.410004,133.539993,134.149994,133.631271,2135900
2021-04-30,133.899994,134.660004,133.149994,133.639999,133.123245,1514200
2021-05-03,134.289993,134.309998,132.610001,133.190002,132.675003,1032000
2021-05-04,132.119995,132.509995,130.350006,130.899994,130.393845,1752400
2021-05-05,132.089996,134.089996,131.250000,133.369995,132.854294,1430600
2021-05-06,132.309998,132.600006,130.770004,132.399994,131.888046,1150400
2021-05-07,133.190002,134.820007,133.190002,133.899994,133.382248,1044200
2021-05-10,133.759995,133.929993,131.759995,131.869995,131.360092,1034300
2021-05-11,130.270004,131.839996,129.300003,131.419998,130.911835,1336600
2021-05-12,130.339996,131.169998,128.470001,128.639999,128.142578,1256400
2021-05-13,129.610001,130.759995,129.259995,130.020004,129.517273,805900
2021-05-14,130.470001,131.690002,130.449997,131.149994,130.642883,775100
2021-05-17,130.839996,131.050003,129.910004,130.110001,129.606903,886700
2021-05-18,129.949997,129.949997,128.679993,128.750000,128.252167,1777600
2021-05-19,127.599998,130.279999,127.129997,130.210007,129.706512,1119400
2021-05-20,130.610001,132.789993,130.610001,132.149994,131.638992,1035100
2021-05-21,132.669998,134.130005,132.220001,132.300003,131.788437,1445900
2021-05-24,133.509995,134.410004,132.529999,133.339996,132.824417,1312300
2021-05-25,133.410004,134.800003,133.009995,133.229996,132.714828,1890600
2021-05-26,136.300003,138.000000,133.250000,133.289993,132.774597,2498400
2021-05-27,133.320007,138.139999,133.160004,137.539993,137.008179,3699600
2021-05-28,138.600006,139.210007,138.000000,138.130005,137.595901,1264400
2021-06-01,139.169998,140.320007,135.570007,137.199997,136.669479,2015800
2021-06-02,137.119995,138.220001,135.880005,136.570007,136.041931,1395700
2021-06-03,136.000000,136.910004,135.740005,136.369995,135.842697,1228700
2021-06-04,137.699997,138.410004,137.389999,137.899994,137.366776,1069700
2021-06-07,138.089996,138.580002,137.369995,137.649994,137.117737,936000
2021-06-08,138.600006,138.919998,137.570007,138.750000,138.213501,1143900
2021-06-09,139.130005,140.369995,138.869995,140.130005,139.588165,961400
2021-06-10,140.320007,143.350006,140.009995,143.059998,142.506821,1462400
2021-06-11,143.360001,143.600006,141.899994,143.529999,142.975006,995100
2021-06-14,143.500000,144.429993,142.759995,144.389999,143.831696,934200
2021-06-15,144.850006,145.160004,144.039993,144.619995,144.060791,1035800
2021-06-16,144.660004,145.080002,142.919998,143.589996,143.034775,1680800
2021-06-17,143.490005,147.679993,143.490005,146.919998,146.351898,2822400
2021-06-18,146.309998,146.830002,144.940002,145.009995,144.449295,3220700
2021-06-21,145.419998,146.690002,143.729996,146.410004,145.843887,1266100
2021-06-22,146.369995,147.679993,145.830002,146.630005,146.063034,1366200
2021-06-23,146.720001,148.059998,146.429993,147.240005,146.670670,1455700
2021-06-24,147.919998,148.330002,146.570007,146.669998,146.102875,1426800
2021-06-25,147.009995,147.759995,146.210007,147.279999,146.710510,8445100
2021-06-28,147.630005,148.039993,146.429993,147.929993,147.358002,1645000
2021-06-29,147.570007,148.839996,147.529999,148.809998,148.234589,816700
2021-06-30,148.679993,148.779999,146.660004,147.809998,147.238464,1259300
2021-07-01,147.770004,148.369995,147.009995,147.789993,147.218536,1426500
2021-07-02,148.110001,148.889999,147.250000,148.820007,148.439423,1400700
2021-07-06,149.229996,149.229996,148.479996,148.979996,148.598999,1973300
2021-07-07,149.589996,149.619995,148.089996,149.490005,149.107712,2286300
2021-07-08,148.070007,148.960007,147.279999,148.830002,148.449387,1891700
2021-07-09,149.490005,150.229996,148.919998,150.029999,149.646317,1596800
2021-07-12,150.649994,151.000000,149.169998,149.509995,149.127640,1480500
2021-07-13,149.110001,149.539993,148.190002,149.270004,148.888260,1456500
2021-07-14,149.860001,149.869995,148.460007,148.630005,148.249908,1218500
2021-07-15,148.339996,149.309998,147.839996,148.960007,148.579056,1733600
2021-07-16,149.330002,149.820007,148.270004,148.929993,148.549133,2169800
2021-07-19,147.660004,147.970001,146.949997,147.580002,147.202591,1835100
2021-07-20,148.449997,151.250000,147.830002,149.300003,148.918182,2246000
2021-07-21,149.490005,149.910004,147.600006,148.949997,148.569077,2255700
2021-07-22,149.710007,150.500000,148.669998,150.300003,149.915634,1972800
2021-07-23,150.589996,152.410004,150.429993,152.309998,151.920486,2132000
