Date,Close/Last,Volume,Open,High,Low
2017-02-28,34.2475,93785360,34.27,34.3588,34.175
2017-03-01,34.9475,145449760,34.4725,35.0375,34.3988
2017-03-02,34.74,104682760,35,35.0697,34.69
2017-03-03,34.945,86221480,34.695,34.9575,34.6475
2017-03-06,34.835,84919560,34.8413,34.9425,34.649
2017-03-07,34.88,69756840,34.765,34.995,34.6975
2017-03-08,34.75,74782000,34.7375,34.95,34.705
2017-03-09,34.67,88471000,34.685,34.6975,34.2625
2017-03-10,34.785,78315680,34.8125,34.8393,34.66
2017-03-13,34.8,68195200,34.7125,34.8575,34.705
2017-03-14,34.7475,61127400,34.825,34.9125,34.71
2017-03-15,35.115,102706880,34.8525,35.1875,34.7563
2017-03-16,35.1725,76695120,35.18,35.255,35.065
2017-03-17,34.9975,174802280,35.25,35.25,34.9725
2017-03-20,35.365,85032400,35.1,35.375,35.0575
2017-03-21,34.96,157844520,35.5275,35.7,34.9325
2017-03-22,35.355,103219280,34.9613,35.4,34.94
2017-03-23,35.23,81197240,35.315,35.3961,35.1525
2017-03-24,35.16,89420560,35.375,35.435,35.0875
2017-03-27,35.22,94126680,34.8475,35.305,34.655
2017-03-28,35.95,133393600,35.2275,36.01,35.155
2017-03-29,36.03,116696160,35.92,36.1225,35.7975
2017-03-30,35.9825,84756000,36.0475,36.125,35.875
2017-03-31,35.915,78305920,35.93,36.0675,35.7525
2017-04-03,35.925,79880160,35.9275,36.03,35.7625
2017-04-04,36.1925,79461200,35.8125,36.2225,35.7925
2017-04-05,36.005,110598000,36.055,36.365,35.9525
2017-04-06,35.915,84524160,36.0725,36.13,35.8625
2017-04-07,35.835,66634640,35.9325,36.045,35.8175
2017-04-10,35.7925,75618720,35.9,35.9698,35.725
2017-04-11,35.4075,121366080,35.735,35.8375,35.015
2017-04-12,35.45,81281680,35.4,35.5375,35.2525
2017-04-13,35.2625,71102040,35.4775,35.595,35.2625
2017-04-17,35.4575,66116520,35.37,35.47,35.2175
2017-04-18,35.3,58705680,35.3525,35.51,35.2775
2017-04-19,35.17,69208640,35.47,35.5,35.1125
2017-04-20,35.61,93176160,35.305,35.73,35.29
2017-04-21,35.5675,69163600,35.61,35.67,35.4625
2017-04-24,35.91,68470840,35.875,35.9875,35.795
2017-04-25,36.1325,73302880,35.9775,36.225,35.9675
2017-04-26,35.92,79992200,36.1175,36.15,35.8441
2017-04-27,35.9475,56794640,35.9808,36.04,35.8275
2017-04-28,35.9125,83133840,36.0225,36.075,35.8175
2017-05-01,36.645,133993080,36.275,36.8,36.24
2017-05-02,36.8775,176731720,36.885,37.0225,36.71
2017-05-03,36.765,182318960,36.3975,36.8725,36.0675
2017-05-04,36.6325,93383880,36.63,36.785,36.4525
2017-05-05,37.24,109019400,36.69,37.245,36.69
2017-05-08,38.2525,194681760,37.2575,38.425,37.2575
2017-05-09,38.4975,155631760,38.4675,38.72,38.3625
2017-05-10,38.315,103116240,38.4075,38.485,38.0275
2017-05-11,38.4875,108945160,38.1125,38.5175,38.0775
2017-05-12,39.025,129975080,38.675,39.105,38.6675
2017-05-15,38.925,103649080,39.0025,39.1625,38.7625
2017-05-16,38.8675,79977080,38.985,39.015,38.68
2017-05-17,37.5625,202697120,38.4,38.6425,37.4275
2017-05-18,38.135,134080600,37.8175,38.335,37.7825
2017-05-19,38.265,107571400,38.345,38.495,38.1575
2017-05-22,38.4975,91722520,38.5,38.645,38.2275
2017-05-23,38.45,79624680,38.725,38.725,38.3275
2017-05-24,38.335,76807280,38.46,38.5425,38.1675
2017-05-25,38.4675,76871240,38.4325,38.5875,38.2575
2017-05-26,38.4025,87580080,38.5,38.56,38.3275
2017-05-30,38.4175,80474480,38.355,38.6075,38.3325
2017-05-31,38.19,97811000,38.4925,38.5425,38.095
2017-06-01,38.295,65534440,38.2925,38.3325,38.055
2017-06-02,38.8625,110860560,38.395,38.8625,38.2225
2017-06-05,38.4825,101110720,38.585,38.6125,38.365
2017-06-06,38.6125,106367400,38.475,38.9525,38.445
2017-06-07,38.8425,84070240,38.755,38.995,38.62
2017-06-08,38.7475,84576160,38.8125,38.885,38.6
2017-06-09,37.245,259131640,38.7975,38.7975,36.505
2017-06-12,36.355,288750840,36.435,36.5225,35.6275
2017-06-13,36.6475,136356760,36.79,36.8625,36.2875
2017-06-14,36.29,125818360,36.875,36.875,35.96
2017-06-15,36.0725,126571600,35.83,36.12,35.5525
2017-06-16,35.5675,201058160,35.945,36.125,35.55
2017-06-19,36.585,128814560,35.915,36.685,35.915
2017-06-20,36.2525,99511800,36.7175,36.7175,36.235
2017-06-21,36.4675,84990360,36.38,36.5173,36.1525
2017-06-22,36.4075,76328680,36.4425,36.675,36.28
2017-06-23,36.57,141685240,36.2825,36.79,36.2775
2017-06-26,36.455,102698000,36.7925,37.07,36.345
2017-06-27,35.9325,98900840,36.2525,36.54,35.905
2017-06-28,36.4575,88211680,36.1225,36.5275,35.79
2017-06-29,35.92,125802080,36.1775,36.2825,35.57
2017-06-30,36.005,91947840,36.1125,36.24,35.945
2017-07-03,35.875,57111400,36.22,36.325,35.775
2017-07-05,36.0225,86201080,35.9225,36.1975,35.6809
2017-07-06,35.6825,96441320,35.755,35.875,35.6025
2017-07-07,36.045,74108000,35.725,36.1875,35.725
2017-07-10,36.265,84322320,36.0275,36.4875,35.8425
2017-07-11,36.3825,74588880,36.1825,36.4625,36.095
2017-07-12,36.435,99335200,36.4675,36.545,36.205
2017-07-13,36.9425,100322000,36.375,37.1225,36.36
2017-07-14,37.26,80468280,36.9925,37.3325,36.8325
2017-07-17,37.39,95062840,37.205,37.725,37.1425
2017-07-18,37.52,71348520,37.3,37.5325,37.1675
2017-07-19,37.755,83439320,37.62,37.855,37.4875
2017-07-20,37.585,68681960,37.875,37.935,37.5475
2017-07-21,37.5675,100445240,37.4975,37.61,37.22
2017-07-24,38.0225,85865480,37.645,38.11,37.475
2017-07-25,38.185,75193000,37.95,38.46,37.95
2017-07-26,38.365,62596480,38.3375,38.4825,38.265
2017-07-27,37.64,129719080,38.4375,38.4975,36.825
2017-07-28,37.375,68771080,37.4725,37.5575,37.2975
2017-07-31,37.1825,78761680,37.475,37.5825,37.0325
2017-08-01,37.5125,134676080,37.275,37.555,37.1025
2017-08-02,39.285,278905760,39.82,39.9375,39.04
2017-08-03,38.8925,106416560,39.2625,39.3025,38.755
2017-08-04,39.0975,82059240,39.0175,39.35,38.9225
2017-08-07,39.7025,87309600,39.265,39.73,39.1675
2017-08-08,40.02,144509960,39.65,40.4575,39.5675
2017-08-09,40.265,104241720,39.815,40.3175,39.7775
2017-08-10,38.83,158544760,39.975,40,38.6575
2017-08-11,39.37,104835880,39.15,39.6432,39.0175
2017-08-14,39.9625,88299040,39.83,40.0525,39.6875
2017-08-15,40.4,117510520,40.165,40.5487,40.035
