Date,Close/Last,Volume,Open,High,Low
2017-02-28,845.04,2787892,851.45,854.09,842.05
2017-03-01,853.08,2758169,853.05,854.83,849.01
2017-03-02,848.91,2130010,853.08,854.82,847.28
2017-03-03,849.88,1948195,847.2,851.985,846.27
2017-03-06,846.61,2609139,845.23,848.49,841.12
2017-03-07,846.02,2246216,845.48,848.46,843.75
2017-03-08,850.5,2286974,848,853.07,846.79
2017-03-09,853,2043932,851,856.3999,850.31
2017-03-10,852.46,2434254,857,857.35,851.72
2017-03-13,854.59,1906941,851.77,855.69,851.71
2017-03-14,852.53,2129358,853.55,853.75,847.55
2017-03-15,852.97,2559702,854.33,854.45,847.11
2017-03-16,853.42,1841507,855.3,855.5,850.51
2017-03-17,852.31,3383423,853.49,853.83,850.64
2017-03-20,856.97,2261699,851.51,857.8,851.01
2017-03-21,843.2,4376927,858.84,862.795,841.31
2017-03-22,848.06,2652225,840.43,849.37,839.05
2017-03-23,847.38,1947627,848.2,850.89,844.8
2017-03-24,845.61,2135812,851.68,851.8,843.53
2017-03-27,846.82,2754903,838.07,850.3,833.5
2017-03-28,856,3037117,851.75,858.46,850.1
2017-03-29,874.32,4479102,859.05,876.438,859.02
2017-03-30,876.34,2758154,874.95,877.06,871.66
2017-03-31,886.54,3949283,877,890.35,876.65
2017-04-03,891.51,3418998,888,893.49,885.42
2017-04-04,906.83,4976736,891.5,908.5384,890.28
2017-04-05,909.28,7497229,910.82,923.72,905.62
2017-04-06,898.28,6338183,913.8,917.1899,894.4927
2017-04-07,894.88,3708367,899.65,900.09,889.31
2017-04-10,907.04,3180999,899.63,908.51,899
2017-04-11,902.36,3008307,907.04,911.24,897.5
2017-04-12,896.23,2451575,903.09,904.09,895.2501
2017-04-13,884.67,3169025,891.45,894.97,884.49
2017-04-17,901.99,2849145,887.5,902.38,887.5
2017-04-18,903.78,2996639,900.99,909.61,900.78
2017-04-19,899.2,2865603,907.84,910.5,897.369
2017-04-20,902.06,2808837,899.7,905.32,896.29
2017-04-21,898.53,2408664,902.67,903.65,896.77
2017-04-24,907.41,3118154,908.68,909.99,903.82
2017-04-25,907.62,3375239,907.04,909.48,903
2017-04-26,909.29,2603720,910.3,915.749,907.56
2017-04-27,918.38,5195293,914.39,921.86,912.11
2017-04-28,924.99,7354916,948.83,949.59,924.3335
2017-05-01,948.23,5459454,927.8,954.4,927.8
2017-05-02,946.94,3814589,946.645,950.1,941.413
2017-05-03,941.03,3578108,946,946,935.9
2017-05-04,937.53,2413486,944.75,945,934.215
2017-05-05,934.15,2863978,940.52,940.79,930.3
2017-05-08,949.04,3406954,940.95,949.05,939.21
2017-05-09,952.82,3256357,952.8,957.89,950.2
2017-05-10,948.95,2093334,953.5,953.7499,945
2017-05-11,947.62,2190678,945.11,950.29,940.775
2017-05-12,961.35,3622639,954.5,962.79,951.53
2017-05-15,957.97,4261618,958.73,963.15,956.055
2017-05-16,966.07,3114640,961,970.06,960.91
2017-05-17,944.76,5129887,954.7,960.3957,944.12
2017-05-18,958.49,3898729,944.8,962.75,944.76
2017-05-19,959.84,3967552,962.84,968.92,959.72
2017-05-22,970.67,2631854,964,971.38,962.9
2017-05-23,971.54,2412406,975.02,975.2,966.85
2017-05-24,980.35,2455977,976,981,970.23
2017-05-25,993.38,4817312,984.85,999,982.11
2017-05-26,995.78,3462132,995,998.65,989.2491
2017-05-30,996.7,3256230,996.51,1001.2,995.52
2017-05-31,994.62,3913721,1000,1000.12,982.16
2017-06-01,995.95,2451407,998.59,998.99,991.37
2017-06-02,1006.73,3749489,998.99,1008.48,995.67
2017-06-05,1011.34,2717283,1007.23,1013.21,1003.51
2017-06-06,1003,3341855,1012,1016.5,1001.25
2017-06-07,1010.07,2818880,1005.95,1010.249,1002
2017-06-08,1010.27,2756796,1012.06,1013.61,1006.11
2017-06-09,978.31,7634038,1012.5,1012.99,927
2017-06-12,964.91,9437061,967,975.95,945
2017-06-13,980.79,4569183,977.99,984.5,966.1
2017-06-14,976.47,3965444,988.59,990.34,966.71
2017-06-15,964.17,5230302,958.7,965.73,950.86
2017-06-16,987.71,11439080,996,999.75,982
2017-06-19,995.17,5019791,1017,1017,989.9
2017-06-20,992.59,4069195,998,1004.88,992.02
2017-06-21,1002.23,2916743,998.7,1002.72,992.6518
2017-06-22,1001.3,2249784,1002.23,1006.9599,997.2
2017-06-23,1003.74,2876508,1002.54,1004.62,998.02
2017-06-26,993.98,3382126,1008.5,1009.8,992
2017-06-27,976.78,3759865,990.69,998.8,976
2017-06-28,990.33,3721937,978.55,990.68,969.21
2017-06-29,975.93,4295828,979,987.56,965.25
2017-06-30,968,3383436,980.12,983.47,967.61
2017-07-03,953.66,2909108,972.79,974.49,951.0001
2017-07-05,971.4,3648765,961.53,975,955.25
2017-07-06,965.14,3257432,964.66,974.4,959.02
2017-07-07,978.76,2589778,969.55,980.11,969.14
2017-07-10,996.47,3515968,985,999.4392,983.5
2017-07-11,994.13,2978422,993,995.99,983.72
2017-07-12,1006.51,3605227,1000.65,1008.55,998.1
2017-07-13,1000.63,2877854,1004.62,1006.88,995.9
2017-07-14,1001.81,2100941,1002.4,1004.45,996.89
2017-07-17,1010.04,3685206,1004.69,1014.75,1003.81
2017-07-18,1024.45,4002293,1006,1026.03,1004
2017-07-19,1026.87,2955263,1025,1031.59,1022.5
2017-07-20,1028.7,3074300,1031.59,1034.97,1022.515
2017-07-21,1025.67,2726844,1021.28,1026.1,1011
2017-07-24,1038.95,3277624,1028.34,1043.01,1027.4279
2017-07-25,1039.87,2444862,1038.05,1043.3346,1032.48
2017-07-26,1052.8,2881423,1043.2,1053.2,1043.2
2017-07-27,1046,10830380,1069.55,1083.31,1040.18
2017-07-28,1020.04,7674669,1012.14,1032.85,1001
2017-07-31,987.78,7326177,1019.05,1019.05,987.02
2017-08-01,996.19,4527979,996.11,1006.4,991.58
2017-08-02,995.89,4061270,1001.77,1003.21,981.73
2017-08-03,986.92,3252699,999.47,999.5,984.59
2017-08-04,987.58,2726739,989.68,991.672,982
2017-08-07,992.27,2670187,990.65,995,987.14
2017-08-08,989.84,2886062,994.35,996.28,985.79
2017-08-09,982.01,3568120,982.6,988,975.27
2017-08-10,956.92,5600182,976.295,979.86,954.68
2017-08-11,967.99,3464615,960,970.39,951.38
2017-08-14,983.3,3168461,978.41,985.5,976.19
2017-08-15,982.74,2544452,988.9,991.74,982
2017-08-16,978.18,3125408,981.65,986.4605,973.22
2017-08-17,960.57,3456073,977.84,977.84,960.32
2017-08-18,958.47,3275276,961.4,965.43,954.65
2017-08-21,953.29,3156891,957.57,961.2,945.46
2017-08-22,966.9,2745796,955.52,967.93,955.495
2017-08-23,958,2642936,959.38,962,954.2
2017-08-24,952.45,5186993,957.42,959,941.14
2017-08-25,945.26,3316602,956,957.621,944.1
2017-08-28,946.02,2576456,946.54,953,942.25
2017-08-29,954.06,2871568,940,956,936.33
2017-08-30,967.59,2897969,958.44,969.41,956.9062
2017-08-31,980.6,3314687,974.7,981,972.76
2017-09-01,978.25,2533779,984.2,984.5,976.875
2017-09-05,965.27,2996501,975.4,976.7699,960.37
2017-09-06,967.8,2125371,968.32,971.84,960.6
2017-09-07,979.47,2562517,974,980.59,972.55
2017-09-08,965.9,2589038,979.1,979.88,963.47
2017-09-11,977.96,2171998,974.46,981.94,974.22
2017-09-12,982.58,2475557,983.27,984.6718,975.517
2017-09-13,999.6,3360247,983.97,1000,979.42
2017-09-14,992.21,3899558,996.8,998.56,987.74
2017-09-15,986.79,3749512,993.01,996.25,984.03
2017-09-18,974.19,3400701,990.4,992.7922,968.17
2017-09-19,969.86,2629721,977.25,978.24,967.46
2017-09-20,973.21,2752256,971.79,974.81,962.1626
2017-09-21,964.65,2276374,971.31,971.7,962.02
2017-09-22,955.1,2629433,961.01,965.61,954.42
2017-09-25,939.79,5115097,949.31,949.42,932.89
2017-09-26,938.6,3504345,945.49,948.63,931.75
2017-09-27,950.87,3145310,948,955.3,943.3
2017-09-28,956.4,2521285,951.86,959.7,950.101
2017-09-29,961.35,2509194,960.11,964.83,958.375
2017-10-02,959.19,2425585,964,967.305,952.1201
2017-10-03,957.1,2664290,958,963.69,950.37
2017-10-04,965.45,2518509,954.21,967.79,954.05
2017-10-05,980.85,3220080,970,981.51,969.64
2017-10-06,989.58,3747408,975.64,995.75,975.64
2017-10-09,990.99,2936073,993.24,998.5,987.5
2017-10-10,987.2,3082929,996.67,997.95,980.099
2017-10-11,995,2335062,991.27,995.5,986.695
2017-10-12,1000.93,4083076,996.81,1008.44,992.4
2017-10-13,1002.94,2429175,1007,1007.77,1001.03
2017-10-16,1006.34,2004816,1008.44,1009.5717,1001.04
2017-10-17,1009.13,2318762,1005.59,1011.4699,1004.38
2017-10-18,997,2496848,1009.27,1022.31,996.55
2017-10-19,986.61,3084459,990,991.05,980.24
2017-10-20,982.91,2343556,993.53,994.62,982
2017-10-23,966.3,3482123,986.73,986.775,962.5
2017-10-24,975.9,2713262,969,979.85,965
2017-10-25,972.91,3029395,978,984.44,966.24
2017-10-26,972.43,5392856,980.33,982.9,968.55
2017-10-27,1100.95,16547950,1058.14,1105.58,1050.55
2017-10-30,1110.85,6608244,1095.01,1122.79,1093.56
2017-10-31,1105.28,3474886,1109,1110.54,1101.1201
2017-11-01,1103.68,3743189,1105.4,1108.97,1096.74
2017-11-02,1094.22,3683447,1097.81,1101.935,1086.8691
2017-11-03,1111.6,3739141,1091.15,1112.68,1088.52
2017-11-06,1120.66,3331032,1109.15,1125.41,1108.77
2017-11-07,1123.17,2684125,1124.74,1130.6,1117.5
2017-11-08,1132.88,2575956,1122.82,1135.54,1119.11
2017-11-09,1129.13,3729458,1125.96,1129.6209,1115.77
2017-11-10,1125.35,2178670,1126.1,1131.75,1124.06
2017-11-13,1129.17,2913376,1123,1139.9,1122.34
2017-11-14,1136.84,3136307,1130.11,1138,1123.89
2017-11-15,1126.69,3917182,1127.01,1131.75,1121.63
2017-11-16,1137.29,2210454,1130.16,1138.16,1130.05
2017-11-17,1129.88,2360174,1138.28,1138.8,1125.8101
2017-11-20,1126.31,2146183,1129.77,1133.42,1122.55
2017-11-21,1139.49,2461416,1132.86,1140,1128.2
2017-11-22,1156.16,3549453,1141,1160.27,1141
