Date,Open,High,Low,Close,Adj Close,Volume
2014-02-18,54.720001,55.169998,54.330002,54.419998,44.928879,1736000
2014-02-19,54.400002,54.860001,53.689999,53.770000,44.392250,1640400
2014-02-20,53.720001,54.360001,53.450001,54.160000,44.714222,1463600
2014-02-21,54.270000,54.669998,54.099998,54.119999,44.681202,1539300
2014-02-24,54.189999,54.480000,53.330002,53.340000,44.037235,1957500
2014-02-25,53.110001,53.529999,52.200001,52.419998,43.277687,2602900
2014-02-26,52.470001,52.770000,52.250000,52.520000,43.360241,1460500
2014-02-27,52.410000,52.549999,52.040001,52.360001,43.228153,1491300
2014-02-28,52.369999,52.400002,51.619999,51.860001,42.815365,1823100
2014-03-03,51.669998,51.990002,51.320000,51.750000,42.724533,1867700
2014-03-04,52.099998,52.430000,51.970001,52.180000,43.079540,1612900
2014-03-05,51.689999,51.919998,51.389999,51.759998,43.021362,1620500
2014-03-06,52.040001,52.540001,51.770000,52.450001,43.594875,1408100
2014-03-07,52.669998,52.810001,52.080002,52.270000,43.445263,1244700
2014-03-10,52.349998,52.669998,52.040001,52.570000,43.694607,1005000
2014-03-11,52.650002,52.740002,52.189999,52.380001,43.536694,1189000
2014-03-12,52.240002,52.540001,51.950001,52.450001,43.594875,1804500
2014-03-13,52.709999,52.810001,51.860001,52.080002,43.287334,1799300
2014-03-14,51.849998,52.220001,51.020000,51.139999,42.506039,2377900
2014-03-17,51.490002,51.560001,50.980000,51.070000,42.447861,1727500
2014-03-18,51.340000,51.340000,50.900002,50.959999,42.356422,1752500
2014-03-19,50.830002,50.900002,50.220001,50.540001,42.007332,2590800
2014-03-20,50.470001,50.709999,50.209999,50.630001,42.082146,1260300
2014-03-21,50.330002,51.160000,50.330002,51.029999,42.414608,3075200
2014-03-24,51.070000,51.349998,50.389999,50.900002,42.306564,1429900
2014-03-25,51.220001,51.549999,51.070000,51.099998,42.472790,1480100
2014-03-26,51.259998,51.400002,50.639999,50.650002,42.098759,1213600
2014-03-27,50.619999,51.080002,50.380001,51.000000,42.389671,1835400
2014-03-28,51.130001,51.590000,50.750000,50.889999,42.298248,1439100
2014-03-31,51.750000,52.709999,51.410000,52.389999,43.545002,2681000
2014-04-01,52.709999,52.720001,51.099998,52.160000,43.353840,2969900
2014-04-02,52.139999,53.029999,52.070000,52.970001,44.027084,1702300
2014-04-03,52.990002,53.310001,52.820000,53.029999,44.076946,1721900
2014-04-04,53.250000,53.270000,52.290001,52.410000,43.561623,1190000
2014-04-07,52.450001,52.590000,52.020000,52.040001,43.254082,1231300
2014-04-08,52.000000,52.410000,51.790001,52.189999,43.378761,1279100
2014-04-09,52.470001,53.000000,52.400002,52.950001,44.010452,1447300
2014-04-10,53.020000,54.320000,53.000000,53.799999,44.716946,3486200
2014-04-11,54.400002,55.130001,53.919998,54.869999,45.606289,4514200
2014-04-14,55.389999,55.700001,55.150002,55.630001,46.238003,2946400
2014-04-15,55.610001,56.070000,54.779999,55.599998,46.213058,2197100
2014-04-16,55.750000,56.369999,55.529999,56.320000,46.811501,2194200
2014-04-17,56.490002,56.889999,56.189999,56.740002,47.160599,1726000
2014-04-21,56.889999,57.049999,56.700001,57.029999,47.401630,1002100
2014-04-22,57.080002,57.889999,56.790001,57.700001,47.958515,1459100
2014-04-23,57.709999,58.000000,57.529999,57.680000,47.941887,1301700
2014-04-24,58.619999,58.619999,56.910000,56.919998,47.310200,2142400
2014-04-25,56.889999,56.950001,56.070000,56.279999,46.778244,2013700
2014-04-28,56.570000,57.209999,56.169998,56.490002,46.952808,2182200
2014-04-29,56.660000,56.950001,55.759998,55.990002,46.537220,3165600
2014-04-30,59.049999,60.189999,58.580002,58.900002,48.955921,6559600
2014-05-01,58.880001,58.970001,58.310001,58.680000,48.773064,1647400
2014-05-02,58.509998,58.880001,58.209999,58.450001,48.581890,1459800
2014-05-05,58.020000,58.369999,57.830002,58.200001,48.374100,1028500
2014-05-06,58.250000,58.430000,57.930000,58.139999,48.324219,1187400
2014-05-07,58.369999,58.700001,57.970001,58.220001,48.390720,1272500
2014-05-08,58.099998,58.560001,58.070000,58.389999,48.532017,1779100
2014-05-09,58.380001,58.500000,58.040001,58.299999,48.457214,861900
2014-05-12,58.709999,59.119999,58.450001,59.009998,49.047344,1209700
2014-05-13,59.009998,59.490002,58.740002,59.060001,49.088909,1829500
2014-05-14,58.860001,58.950001,58.490002,58.750000,48.831249,1039000
2014-05-15,58.580002,58.910000,58.220001,58.849998,48.914356,1016800
2014-05-16,58.860001,58.970001,58.419998,58.880001,48.939297,918300
2014-05-19,58.520000,59.580002,58.520000,59.520000,49.471245,1009800
2014-05-20,59.349998,59.349998,58.820000,59.110001,49.130455,871600
2014-05-21,59.110001,59.410000,59.060001,59.320000,49.305012,886300
2014-05-22,59.320000,59.720001,59.080002,59.549999,49.496174,946600
2014-05-23,59.570000,59.709999,59.180000,59.630001,49.562675,587600
2014-05-27,59.880001,59.950001,58.970001,59.259998,49.255135,1458500
2014-05-28,59.380001,59.980000,59.130001,59.709999,49.629166,1451100
2014-05-29,59.779999,59.970001,59.520000,59.939999,49.820328,914700
2014-05-30,59.959999,59.959999,59.500000,59.860001,49.753845,1431200
2014-06-02,59.900002,60.060001,59.400002,59.779999,49.687351,1312500
2014-06-03,59.660000,59.860001,59.570000,59.720001,49.637478,1150300
2014-06-04,59.230000,59.450001,59.090000,59.380001,49.645840,1052100
2014-06-05,59.599998,60.470001,59.470001,60.439999,50.532085,1996500
2014-06-06,60.389999,61.209999,60.330002,61.169998,51.142403,1852600
2014-06-09,61.040001,61.369999,60.790001,60.910000,50.925034,1395600
2014-06-10,60.910000,61.750000,60.720001,61.730000,51.610607,1492700
2014-06-11,61.570000,62.090000,61.270000,61.910000,51.761093,2172500
2014-06-12,61.580002,61.980000,61.480000,61.820000,51.685844,1857900
2014-06-13,61.880001,62.060001,61.650002,62.009998,51.844707,861300
2014-06-16,61.930000,62.500000,61.720001,62.459999,52.220928,1198600
2014-06-17,62.480000,62.549999,62.009998,62.240002,52.037006,1389100
2014-06-18,62.389999,63.660000,62.299999,63.529999,53.115532,2157200
2014-06-19,63.430000,63.709999,63.240002,63.689999,53.249306,1254000
2014-06-20,64.029999,64.089996,63.580002,63.919998,53.441589,2777200
2014-06-23,64.029999,64.040001,63.660000,63.810001,53.349632,1183800
2014-06-24,63.560001,64.040001,62.919998,62.959999,52.638962,1636800
2014-06-25,62.959999,63.599998,62.910000,63.500000,53.090439,1118800
2014-06-26,63.470001,63.730000,62.880001,63.730000,53.282730,949100
2014-06-27,63.599998,63.970001,63.380001,63.799999,53.341270,901400
2014-06-30,62.599998,63.820000,62.599998,63.790001,53.332901,969800
2014-07-01,64.070000,64.290001,63.520000,63.529999,53.115532,1186800
2014-07-02,63.590000,64.389999,63.299999,64.129997,53.617172,1310400
2014-07-03,64.360001,64.389999,63.930000,64.379997,53.826187,751400
2014-07-07,64.190002,64.279999,63.910000,64.110001,53.600452,1407100
2014-07-08,64.000000,64.320000,63.340000,63.389999,52.998478,1846000
2014-07-09,63.790001,64.300003,63.790001,64.000000,53.508472,1251800
2014-07-10,63.090000,63.730000,63.090000,63.459999,53.056999,1553000
2014-07-11,63.490002,63.669998,63.290001,63.439999,53.040283,892200
2014-07-14,63.639999,63.980000,63.549999,63.740002,53.291119,1467800
2014-07-15,63.970001,64.580002,63.770000,64.309998,53.767654,2109500
2014-07-16,64.489998,65.209999,64.250000,65.199997,54.511765,1434900
2014-07-17,64.769997,65.029999,64.099998,64.150002,53.633892,1386400
2014-07-18,64.279999,64.900002,64.010002,64.870003,54.235863,1203300
2014-07-21,64.730003,65.650002,64.599998,65.480003,54.745861,2290000
2014-07-22,65.940002,66.129997,65.669998,65.959999,55.147171,1195100
2014-07-23,65.910004,66.500000,65.699997,66.110001,55.272587,985600
2014-07-24,66.129997,66.650002,65.980003,66.519997,55.615372,903300
2014-07-25,66.440002,66.690002,66.080002,66.209999,55.356194,746300
2014-07-28,66.080002,66.150002,65.419998,65.610001,54.854553,884200
2014-07-29,65.599998,65.610001,64.360001,64.410004,53.851276,2078000
2014-07-30,68.000000,69.500000,65.730003,68.529999,57.295887,5014500
2014-07-31,68.000000,68.720001,67.320000,67.459999,56.401279,3121000
2014-08-01,67.449997,68.029999,67.139999,67.699997,56.601944,2656700
2014-08-04,68.070000,68.720001,67.529999,68.459999,57.237370,6262800
2014-08-05,68.459999,68.550003,67.059998,67.320000,56.284218,3050100
2014-08-06,67.070000,67.070000,66.050003,66.220001,55.364559,2286900
2014-08-07,66.639999,67.019997,65.879997,66.669998,55.740780,1446100
2014-08-08,66.760002,67.459999,66.260002,67.389999,56.342754,1506200
2014-08-11,67.459999,68.120003,67.459999,67.510002,56.443096,1046400
2014-08-12,67.489998,67.949997,67.419998,67.709999,56.610313,776600
2014-08-13,68.080002,68.139999,67.230003,67.500000,56.434734,1488200
2014-08-14,67.739998,67.889999,66.959999,67.220001,56.200623,1544100
2014-08-15,67.639999,67.669998,66.680000,67.169998,56.158825,2409200
2014-08-18,67.459999,68.290001,67.459999,68.150002,56.978180,1081500
2014-08-19,68.320000,68.720001,68.169998,68.629997,57.379478,1051000
2014-08-20,68.419998,68.889999,68.230003,68.660004,57.404572,1069100
2014-08-21,68.660004,68.879997,68.410004,68.620003,57.371120,896600
2014-08-22,68.570000,68.730003,68.239998,68.449997,57.228992,698000
2014-08-25,68.750000,68.989998,68.500000,68.559998,57.320965,832800
2014-08-26,68.610001,68.860001,68.309998,68.449997,57.228992,1445500
2014-08-27,68.570000,68.570000,67.989998,68.220001,57.036690,629800
2014-08-28,68.160004,68.309998,67.730003,68.059998,56.902924,994700
2014-08-29,68.489998,68.580002,68.089996,68.260002,57.070133,795600
2014-09-02,68.339996,68.500000,68.080002,68.370003,57.162113,987400
2014-09-03,67.570000,67.570000,66.629997,66.900002,56.220894,2892200
2014-09-04,66.970001,67.470001,66.919998,67.330002,56.582260,1474700
2014-09-05,67.480003,67.849998,66.940002,67.760002,56.943600,1048100
2014-09-08,67.839996,68.120003,67.389999,67.510002,56.733521,679500
2014-09-09,67.510002,67.690002,66.720001,66.910004,56.229298,1100300
2014-09-10,66.739998,67.019997,66.459999,66.730003,56.078030,777100
2014-09-11,66.570000,67.029999,66.430000,66.989998,56.296520,1338100
2014-09-12,67.070000,67.279999,66.830002,67.169998,56.447792,858200
2014-09-15,67.139999,67.279999,66.599998,67.050003,56.346947,779200
2014-09-16,67.089996,67.300003,66.860001,67.199997,56.473011,1157200
2014-09-17,67.410004,68.220001,67.250000,68.080002,57.212528,1308800
2014-09-18,68.080002,68.279999,67.839996,68.230003,57.338589,1188600
2014-09-19,68.279999,68.570000,67.360001,67.820000,56.994026,1716300
2014-09-22,67.580002,67.580002,66.669998,66.739998,56.086433,782600
2014-09-23,66.629997,66.820000,66.269997,66.440002,55.834324,939600
2014-09-24,66.360001,66.769997,66.050003,66.690002,56.044418,1035400
2014-09-25,66.500000,66.620003,65.489998,65.559998,55.094791,1109500
2014-09-26,65.610001,66.370003,65.599998,66.349998,55.758675,1014700
2014-09-29,65.860001,66.629997,65.629997,66.449997,55.842724,1222800
2014-09-30,66.290001,66.699997,66.040001,66.320000,55.733486,1412300
2014-10-01,66.180000,66.320000,65.150002,65.190002,54.783859,1618400
2014-10-02,65.000000,66.199997,64.589996,66.099998,55.548599,1924500
2014-10-03,66.519997,67.449997,66.410004,67.239998,56.506618,1416200
2014-10-06,67.400002,68.019997,66.680000,66.730003,56.078030,797700
2014-10-07,66.480003,66.480003,65.419998,65.430000,54.985558,836900
2014-10-08,65.230003,66.330002,64.809998,66.279999,55.699852,849800
2014-10-09,66.250000,66.650002,65.029999,65.199997,54.792259,966800
2014-10-10,65.169998,65.379997,64.180000,64.620003,54.304855,1207300
2014-10-13,64.150002,65.169998,63.419998,63.450001,53.321606,1496600
2014-10-14,64.949997,66.190002,64.629997,65.580002,55.111607,1516700
2014-10-15,65.459999,67.309998,64.790001,67.099998,56.388969,2267200
2014-10-16,66.230003,67.440002,65.519997,66.860001,56.187279,1461800
2014-10-17,67.459999,68.150002,67.209999,67.980003,57.128506,1254100
2014-10-20,67.699997,69.000000,67.699997,68.989998,57.977268,1548100
2014-10-21,69.190002,70.150002,68.849998,69.930000,58.767223,1113600
2014-10-22,70.110001,70.500000,69.510002,69.529999,58.431080,1365500
2014-10-23,70.419998,71.220001,69.989998,70.610001,59.338676,1061300
2014-10-24,71.010002,71.309998,70.489998,71.150002,59.792477,1083100
2014-10-27,70.389999,72.139999,69.800003,71.699997,60.254665,2279400
2014-10-28,71.699997,72.570000,71.599998,72.339996,60.792492,2795000
2014-10-29,74.349998,74.949997,71.769997,72.099998,60.590828,3934800
2014-10-30,70.570000,72.099998,68.570000,69.220001,58.170551,3322100
2014-10-31,70.099998,70.180000,68.279999,69.209999,58.162148,2359000
2014-11-03,69.279999,69.440002,67.879997,68.690002,57.725159,1960900
2014-11-04,68.930000,70.620003,68.839996,70.120003,58.926895,3034500
2014-11-05,70.769997,71.870003,69.959999,71.449997,60.044579,2198200
