A DD
ABT CHD
ACN CPRT
ADBE AIG
ADI AIG
ADI HON
ADI MDT
ADI TGNA
ADS AIG
AIG AJG
AIG ALK
AIG ALL
AIG AME
AIG AMG
AIG AMP
AIG AN
AIG AON
AIG AOS
AIG APH
AIG ASH
AIG ATO
AIG AXP
AIG AYI
AIG BC
AIG BEN
AIG BLK
AIG BLL
AIG BRK-B
AIG BRO
AIG CAR
AIG CBOE
AIG CHTR
AIG CI
AIG CINF
AIG CLX
AIG CMCSA
AIG COO
AIG COP
AIG COST
AIG CPRT
AIG CTAS
AIG CVX
AIG DFS
AIG DHR
AIG DIS
AIG DISCA
AIG DISCK
AIG DISH
AIG DLX
AIG DOV
AIG DVA
AIG ECL
AIG EFX
AIG EMN
AIG EOG
AIG ES
AIG FIS
AIG FISV
AIG FITB
AIG FLS
AIG FLT
AIG FMC
AIG GE
AIG GILD
AIG GL
AIG GPC
AIG GPS
AIG HBAN
AIG HBI
AIG HD
AIG HOG
AIG HON
AIG HRB
AIG HRL
AIG HSIC
AIG ICE
AIG IEX
AIG IFF
AIG IP
AIG IPG
AIG IT
AIG ITT
AIG ITW
AIG IVZ
AIG JBHT
AIG JCI
AIG JKHY
AIG KEY
AIG KLAC
AIG L
AIG LIN
AIG LKQ
AIG LMT
AIG LOW
AIG LYB
AIG MAS
AIG MCK
AIG MCO
AIG MDT
AIG MHK
AIG MMC
AIG MMM
AIG MPWR
AIG MRO
AIG MTD
AIG NEE
AIG NEM
AIG NOC
AIG NWL
AIG ODFL
AIG OMC
AIG PAYX
AIG PDCO
AIG PENN
AIG PFE
AIG PKG
AIG PKI
AIG PNR
AIG POOL
AIG PPG
AIG PRI
AIG PXD
AIG RE
AIG RF
AIG RJF
AIG RMD
AIG ROP
AIG RTX
AIG SBAC
AIG SBNY
AIG SIG
AIG SIRI
AIG SIVB
AIG SJM
AIG SLG
AIG SLM
AIG SNA
AIG SNPS
AIG SRE
AIG SSP
AIG STT
AIG STZ
AIG SYK
AIG TDY
AIG TEL
AIG TFX
AIG TGNA
AIG TMO
AIG TRV
AIG TYL
AIG UAA
AIG UNP
AIG URI
AIG USB
AIG VTRS
AIG WAB
AIG WDC
AIG WFC
AIG WHR
AIG WMB
AIG WOR
AIG WRB
AIG WST
AIG WY
AIG XLNX
AIG XOM
AIG XRAY
AIG ZBH
AME JCI
AME LBTYK
AN CLF
AN STZ
APD GD
APD GHC
APD MGM
APD PRU
AWK MRK
AYI DHR
BIO CBRE
CB ODFL
CCI EBAY
CMA NXPI
CVX IP
CVX LBTYK
CVX RYAAY
DFS MRK
DHR FRC
DHR VTRS
DHR XRAY
EL GWW
EL TSCO
ES MKC
ES VZ
GD PRU
GHC LYV
GM HIG
GM MS
GOOG GOOGL
HSIC NEM
IAC MTCH
IPG KEY
ISRG RRD
JCI LBTYK
JWN KMB
JWN LKQ
JWN M
JWN MA
JWN MAT
JWN MO
JWN MRK
JWN NEE
JWN NI
JWN ODFL
JWN ORLY
JWN POOL
JWN REGN
JWN SBAC
JWN SBUX
JWN SHW
JWN SNPS
JWN TDG
JWN TDY
JWN TJX
JWN TSCO
JWN TYL
JWN UNP
JWN V
JWN VFC
JWN VRSK
JWN WMT
JWN YUM
KIM SITC
L NTRS
LBTYK MHK
LIN ODFL
LIN UNH
MHK TRV
MMC PNR
MMC SBNY
MRO PBCT
PXD XLNX
RJF TROW
SLM SRCL
TAP WBA
TDY TYL
