ABT CDNS
ADI ALTR
ADI LH
ADP DDS
AFL KIM
AIV CBOE
AKAM CCI
AKAM DG
AKAM EQIX
ALTR TRMB
ALTR VRTS
AMCR CC
APH IR
ARE MMC
AWK CPRT
AWK DHR
AWK ISRG
AWK MPWR
AWK NKE
BA CCL
BA UAL
BBY KODK
BDX BRO
BDX BXP
BDX CB
BDX CBOE
BDX CBRE
BDX CF
BDX CINF
BDX CLX
BDX CME
BDX CMS
BDX COP
BDX CVS
BDX CVX
BDX D
BDX EIX
BDX EQR
BDX ES
BDX ESS
BDX ETR
BDX EVRG
BDX FE
BDX FHN
BDX FISV
BDX FOX
BDX FOXA
BDX FRT
BDX GD
BDX HIG
BDX HPE
BDX HSY
BDX KEY
BDX KIM
BDX KO
BDX LHX
BDX LNT
BDX LYV
BDX MAA
BDX MAR
BDX MBI
BDX MCK
BDX MMI
BDX MPC
BDX MRO
BDX MUR
BDX NBR
BDX NKTR
BDX NOC
BDX NTRS
BDX O
BDX OKE
BDX OMC
BDX ONE
BDX PBCT
BDX PEAK
BDX PEG
BDX PSX
BDX RE
BDX REG
BDX RTX
BDX SIRI
BDX SITC
BDX SLG
BDX SO
BDX SPG
BDX STX
BDX TDG
BDX TGNA
BDX TSN
BDX UDR
BDX VLO
BDX VOD
BDX WELL
BDX WFC
BDX WRB
BDX ZION
BKNG CE
BKNG MGM
BKNG PRI
BKNG STZ
BSX NLOK
CBOE ESS
CBRE RJF
CDW JBL
CHD CHRW
CPRT ISRG
DGX DHR
DGX ETN
DGX EXPD
DGX FTNT
DGX GOOG
DGX GOOGL
DGX HD
DGX INTU
DGX ISRG
DGX JBHT
DGX LIN
DGX LLY
DGX LOW
DGX MPWR
DGX MRVL
DGX MTD
DGX NDAQ
DGX NKE
DGX NVDA
DGX ODFL
DGX PKI
DGX POOL
DGX PWR
DGX ROK
DGX SHW
DGX SNPS
DGX STE
DGX UPS
DGX ZBRA
DGX ZTS
DHI ITW
DRI FOSL
DRI IVZ
DUK NUE
EA NTES
EL LH
EXPE R
FBHS MA
FOX MAR
FOXA MAR
GS WAT
GWW QCOM
HAS VTR
HIG KIM
HPE HST
HST MTB
IBM KIM
IBM OMC
IBM REG
IBM RIG
IBM SPG
IBM WELL
IGT WAB
ITT TJX
JBL THC
JNJ ODP
KEY TGNA
KODK PENN
LH MS
LH PWR
MCHP PH
PEG PFG
PFG SUN
PRGO UNP
SITC USB
STZ TEX
STZ X
SUN TXT
SYK VMC
TDG WRK
