===============================================================================
Id,NFLX,len,datetime,open,high,low,close,volume,openinterest,AMZN,len,datetime,open,high,low,close,volume,openinterest,Strategy_pairGen,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,NFLX,AMZN
1,NFLX,1,2021-08-02 23:59:59.999989,146.2409,146.5305,145.9314,146.4506,21334.0,0.0,AMZN,1,2021-08-02 23:59:59.999989,286.7,286.98,286.5,286.53,1227.0,0.0,Strategy_pairGen,1,738004.9999999999,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,NFLX,2,2021-08-02 23:59:59.999989,146.4007,146.4905,146.3807,146.4306,19022.0,0.0,AMZN,2,2021-08-02 23:59:59.999989,286.84,286.85,286.5,286.7,2314.0,0.0,Strategy_pairGen,2,738004.9999999999,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,NFLX,3,2021-08-02 23:59:59.999989,146.3807,146.5005,146.2808,146.2808,74583.0,0.0,AMZN,3,2021-08-02 23:59:59.999989,286.55,286.55,286.28,286.28,1692.0,0.0,Strategy_pairGen,3,738004.9999999999,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,NFLX,4,2021-08-02 23:59:59.999989,146.2309,146.7701,146.0512,146.5804,150257.0,0.0,AMZN,4,2021-08-02 23:59:59.999989,285.75,286.14,285.75,286.05,12851.0,0.0,Strategy_pairGen,4,738004.9999999999,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,NFLX,5,2021-08-02 23:59:59.999989,146.2209,146.7302,146.0512,146.3557,264076.0,0.0,AMZN,5,2021-08-02 23:59:59.999989,286.0,286.12,285.51,285.83,18367.0,0.0,Strategy_pairGen,5,738004.9999999999,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,NFLX,6,2021-08-02 23:59:59.999989,146.3607,146.7302,145.0327,145.7317,10665600.0,0.0,AMZN,6,2021-08-02 23:59:59.999989,285.83,286.775,283.74,284.795,2164521.0,0.0,Strategy_pairGen,6,738004.9999999999,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,NFLX,7,2021-08-02 23:59:59.999989,145.7117,146.0312,145.1925,145.8017,9483026.0,0.0,AMZN,7,2021-08-02 23:59:59.999989,284.79,285.79,284.095,285.149,1733637.0,0.0,Strategy_pairGen,7,738004.9999999999,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,NFLX,8,2021-08-02 23:59:59.999989,145.8115,146.3308,145.492,145.8059,6512558.0,0.0,AMZN,8,2021-08-02 23:59:59.999989,285.16,286.43,284.74,285.73,1455495.0,0.0,Strategy_pairGen,8,738004.9999999999,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,NFLX,9,2021-08-02 23:59:59.999989,145.8072,145.8165,145.3411,145.532,5333032.0,0.0,AMZN,9,2021-08-02 23:59:59.999989,285.73,285.95,285.14,285.52,1171775.0,0.0,Strategy_pairGen,9,738004.9999999999,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,NFLX,10,2021-08-02 23:59:59.999989,145.532,145.9967,145.522,145.8265,4643786.0,0.0,AMZN,10,2021-08-02 23:59:59.999989,285.52,286.1399,285.45,285.74,898655.0,0.0,Strategy_pairGen,10,738004.9999999999,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
